cohort,seed,highlight,replicate_index,leg,direction,out_files,malformed_lines,n,mean,sd,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,tail_state,tail_state_p99,tail_state_frac_gt150,n_states_declared,n_cycles,gate_passed,total_round_trips,min_adjacent_pair,min_adjacent_crossing,nan_any,root
w4a_c1_carved,s101,False,2,bound,dminus,12,0,4800,57.47839714361954,53.09995516036483,42.2988804075,172.32787558913003,188.01876867907004,197.1142638896,0.15625,0.090625,0.028541666666666667,11,195.56789161455401,0.9425,12,400,True,0,10-11,18,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep2
w4a_c1_carved,s127,True,3,bound,dplus,12,0,4800,56.70946480656094,57.24136663255341,36.728459608,167.17508571664,183.88952347549304,195.6866797751,0.22145833333333334,0.10270833333333333,0.017708333333333333,0,191.465685651301,0.9,12,400,True,0,0-1,62,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep3
w4a_c1_carved,s127,True,3,bound,dminus,12,0,4800,75.71146704874526,60.93348681408566,67.41455544934999,175.79204275051,189.612221192345,199.2475147007,0.3827083333333333,0.12229166666666667,0.036458333333333336,11,197.124175279864,0.96,12,400,True,0,10-11,64,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep3
w4a_c1_carved,s163,False,4,bound,dplus,12,0,4800,75.49435710933395,61.1370118092863,70.58604953394999,161.53948658571002,184.0415082793101,198.3589606547,0.4345833333333333,0.08625,0.015833333333333335,0,195.58891266275498,0.83,12,400,True,1,0-1,100,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep4
w4a_c1_carved,s163,False,4,bound,dminus,12,0,4800,61.79005872080036,58.401814933088694,41.902560348950004,172.72598809864002,188.05889026311002,198.4501691582,0.23708333333333334,0.12145833333333333,0.027916666666666666,11,196.634085914099,0.9125,12,400,True,0,8-9,66,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep4
w4a_c1_carved,s199,False,5,bound,dplus,12,0,4800,62.4209819705107,58.27754558743063,48.000474276999995,168.612002544685,184.8238917680711,197.435503344,0.24770833333333334,0.10458333333333333,0.020416666666666666,0,193.54444759615998,0.9125,12,400,True,0,2-3,66,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep5
w4a_c1_carved,s199,False,5,bound,dminus,12,0,4800,59.378061322585445,53.867551206840005,45.65756453155,169.71126435087,185.66953219442104,197.4236861809,0.17729166666666665,0.099375,0.02375,11,195.70648008227502,0.8875,12,400,True,1,10-11,62,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep5
w4a_c1_carved,s7,False,0,free,dplus,12,0,4800,59.6538102890994,57.237982635565274,43.447986843500004,173.017132934175,187.14513413510903,198.4633771535,0.19895833333333332,0.11708333333333333,0.028541666666666667,0,195.80685472716897,0.93,12,400,False,0,1-2,72,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep0
w4a_c1_carved,s7,False,0,free,dminus,12,0,4800,58.546159298659006,54.90434201971031,44.90600352535,173.042564269925,189.19768066789302,198.3822726108,0.168125,0.09916666666666667,0.031041666666666665,11,196.31961501291,0.91,12,400,True,0,9-10,26,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep0
w4a_c1_carved,s23,False,1,free,dplus,12,0,4800,62.624984355570014,58.465494466634674,46.6797575212,170.09282205237002,185.46078424360104,197.6415526583,0.250625,0.115625,0.022708333333333334,0,194.152820353668,0.9225,12,400,False,0,2-3,16,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep1
w4a_c1_carved,s23,False,1,free,dminus,12,0,4800,58.23517629582273,55.684660697680265,40.337352862100005,170.14129767056002,186.744163734091,198.1287911998,0.18395833333333333,0.1125,0.023541666666666666,11,196.800539703622,0.9275,12,400,True,1,10-11,44,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep1
w4a_c1_carved,s101,False,2,free,dplus,12,0,4800,78.80572435479266,64.51699900222656,80.39392066504999,176.10357123601,189.678432889064,198.6110281651,0.46708333333333335,0.13833333333333334,0.03666666666666667,0,196.678146280349,0.9925,12,400,False,0,1-2,100,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep2
w4a_c1_carved,s101,False,2,free,dminus,12,0,4800,71.07874696492689,62.19003336035733,54.375263746550004,173.03984616774,189.07180326306207,199.5326491086,0.37895833333333334,0.12375,0.029791666666666668,11,196.090778573057,0.9575,12,400,True,0,10-11,88,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep2
w4a_c1_carved,s127,True,3,free,dplus,12,0,4800,70.1060262438777,63.25199543865685,49.77895470465,179.22860806123,191.30069934514103,198.380784102,0.370625,0.11625,0.04875,0,197.016549245717,0.9,12,400,True,0,0-1,84,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep3
w4a_c1_carved,s127,True,3,free,dminus,12,0,4800,58.31343437196336,55.628722694729994,43.035561906249995,170.87809481654503,185.98620089523905,198.1492690636,0.18895833333333334,0.10458333333333333,0.0225,11,196.709430089164,0.915,12,400,False,0,9-10,42,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep3
w4a_c1_carved,s163,False,4,free,dplus,12,0,4800,56.62108332062396,53.833737009465274,42.777008581800004,171.49065770226497,187.90626928359097,199.5159782063,0.15916666666666668,0.09125,0.026458333333333334,0,196.186788379765,0.93,12,400,True,0,0-1,18,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep4
w4a_c1_carved,s163,False,4,free,dminus,12,0,4800,58.779948527541066,55.79137372092385,43.7102162815,175.039637693655,188.619204995186,198.2297523147,0.17583333333333334,0.1175,0.031875,11,196.38234048466296,0.9875,12,400,True,2,9-10,48,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep4
w4a_c1_carved,s199,False,5,free,dplus,12,0,4800,73.50204867392844,62.68398374316139,61.98878680315,170.10191175005502,185.13979646524405,198.4605566757,0.4066666666666667,0.11520833333333333,0.021875,0,194.930001859064,0.91,12,400,True,0,0-1,88,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep5
w4a_c1_carved,s199,False,5,free,dminus,12,0,4800,63.4016284762177,58.54376194753375,45.53806166345,170.33220987481505,187.97278333163302,197.6415233647,0.256875,0.11458333333333333,0.029375,11,196.00153953996,0.9575,12,400,True,0,8-9,70,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_free_FIXAB_carved/wt/free/rep5
w4a_c1_uncarved,s7,False,0,bound,dplus,12,0,4800,72.90955835473143,65.30941584943399,54.92977339265,174.517570263875,188.49114998373702,199.3884316032,0.434375,0.12958333333333333,0.033125,0,196.060352971364,0.975,12,400,False,0,5-6,62,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep0
w4a_c1_uncarved,s7,False,0,bound,dminus,12,0,4800,65.1132849748021,58.08600224297137,48.6680098291,167.443641023065,186.244400290659,198.3235291402,0.27,0.105625,0.02,11,194.476549239815,0.865,12,400,True,0,8-9,40,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep0
w4a_c1_uncarved,s23,False,1,bound,dplus,12,0,4800,72.24123777816617,63.79690387190109,64.2243890416,172.46383335633504,188.330302604903,199.1733373011,0.39770833333333333,0.11729166666666667,0.030208333333333334,0,196.780903494436,0.9525,12,400,True,1,0-1,82,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep1
w4a_c1_uncarved,s23,False,1,bound,dminus,12,0,4800,58.709548435795455,53.485671825863086,42.2573344885,171.38359178612504,187.04786972721402,198.0855065064,0.17041666666666666,0.11,0.028333333333333332,11,195.38348986525298,0.8925,12,400,True,1,9-10,72,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep1
w4a_c1_uncarved,s101,False,2,bound,dplus,12,0,4800,64.44760332232113,61.67729097766189,47.3310714926,172.260957756395,187.67655394946405,198.7092356149,0.30791666666666667,0.10104166666666667,0.030208333333333334,0,195.61381941671198,0.94,12,400,True,0,0-1,42,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep2
w4a_c1_uncarved,s101,False,2,bound,dminus,12,0,4800,58.25017741271931,53.014096667539626,44.7748304553,171.65906670545,186.79110153245202,196.7960432559,0.15604166666666666,0.10666666666666667,0.025,11,195.53492951509597,0.93,12,400,True,0,9-10,54,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep2
w4a_c1_uncarved,s127,True,3,bound,dplus,12,0,4800,71.34976124653673,62.89001659695589,60.694386352799995,174.47310948818,189.50970461247502,199.3385142951,0.3804166666666667,0.12333333333333334,0.03395833333333333,0,196.650154919992,0.985,12,400,True,2,0-1,58,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep3
w4a_c1_uncarved,s127,True,3,bound,dminus,12,0,4800,63.84485008351086,58.197276586051665,45.42696134085,174.17644589612001,189.12920413199217,199.0737464847,0.25145833333333334,0.11625,0.0325,11,196.87682160856602,0.9525,12,400,True,0,8-9,30,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep3
w4a_c1_uncarved,s163,False,4,bound,dplus,12,0,4800,58.777603116815854,56.9436297538795,42.17424265055,173.39544886619504,188.312451899084,199.5095383105,0.17791666666666667,0.12958333333333333,0.027916666666666666,0,196.468823590718,0.985,12,400,False,0,1-2,10,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep4
w4a_c1_uncarved,s163,False,4,bound,dminus,12,0,4800,57.656328274074404,56.1964539334986,39.032624283000004,174.43207712163502,187.69572096862603,199.2039596831,0.16833333333333333,0.13583333333333333,0.03145833333333333,11,197.452368037882,0.935,12,400,True,0,9-10,18,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep4
w4a_c1_uncarved,s199,True,5,bound,dplus,12,0,4800,58.875187184226746,57.06594214409127,46.4249970124,176.84047286790502,191.02367935191103,198.4663121502,0.17270833333333332,0.11416666666666667,0.04125,0,196.42439413132303,0.9575,12,400,True,0,0-1,58,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep5
w4a_c1_uncarved,s199,True,5,bound,dminus,12,0,4800,64.93917130502584,57.20525304309308,49.35748536085,168.49333886028504,186.65749303973502,198.7265185794,0.26229166666666665,0.10875,0.022916666666666665,11,195.205753352497,0.885,12,400,True,0,8-9,78,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_bound_FIXAB/wt/bound/rep5
w4a_c1_uncarved,s7,False,0,free,dplus,12,0,4800,65.20872828773955,58.94545516920264,50.35038614365,167.57527366406998,187.51223987676107,198.0814794409,0.28041666666666665,0.10354166666666667,0.022708333333333334,0,196.21056213908403,0.9125,12,400,True,0,0-1,56,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep0
w4a_c1_uncarved,s7,False,0,free,dminus,12,0,4800,57.78732012892613,55.04090425354706,42.063492434,169.37365993757,188.09502268665406,199.4433922243,0.17645833333333333,0.11,0.026041666666666668,11,197.324002555399,0.8475,12,400,True,1,9-10,28,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep0
w4a_c1_uncarved,s23,False,1,free,dplus,12,0,4800,72.50539954842593,61.285015601942256,60.6676032393,170.998701358925,186.55376053360206,198.1472548755,0.37104166666666666,0.1175,0.025833333333333333,0,195.49274013071798,0.96,12,400,True,1,0-1,72,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep1
w4a_c1_uncarved,s23,False,1,free,dminus,12,0,4800,58.97139289884553,54.63490192714116,44.972173570449996,170.079980820005,185.16632523841002,198.9352896907,0.17916666666666667,0.09729166666666667,0.023333333333333334,11,196.21369324952298,0.8975,12,400,True,0,10-11,58,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep1
w4a_c1_uncarved,s101,False,2,free,dplus,12,0,4800,56.324944951645385,54.233506394929485,41.7046337237,170.38190820895002,185.63536931750198,199.3900532423,0.16770833333333332,0.09958333333333333,0.02020833333333333,0,195.316217458467,0.9375,12,400,True,1,0-1,52,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep2
w4a_c1_uncarved,s101,False,2,free,dminus,12,0,4800,57.76079686255503,54.635013646597,43.75106198835,167.29737662506002,185.4722177138531,198.4306181932,0.1725,0.09708333333333333,0.019166666666666665,11,195.69531046826899,0.905,12,400,True,0,9-10,64,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep2
w4a_c1_uncarved,s127,True,3,free,dplus,12,0,4800,63.609738744410464,59.11244955219303,46.52518569625,173.466612900505,189.076272430013,196.6434509559,0.2685416666666667,0.11145833333333334,0.028958333333333332,0,194.80525496130903,0.935,12,400,False,0,2-3,42,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep3
w4a_c1_uncarved,s127,True,3,free,dminus,12,0,4800,82.4234006456517,63.66314922981389,122.0592279901,170.67612284249,186.480599147354,198.1175085533,0.5320833333333334,0.115625,0.025416666666666667,11,195.98824351233898,0.94,12,400,True,0,10-11,58,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep3
w4a_c1_uncarved,s163,False,4,free,dplus,12,0,4800,59.58652483631271,56.74171196205464,44.8184770106,171.88589676662002,187.24955717494,197.830682662,0.18979166666666666,0.11104166666666666,0.029791666666666668,0,195.06907157132198,0.985,12,400,True,0,1-2,34,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep4
w4a_c1_uncarved,s163,False,4,free,dminus,12,0,4800,60.57499693915968,57.02213654101566,45.72770244535,175.41192474308002,189.21643199525602,196.9265630296,0.18916666666666668,0.12375,0.0325,11,195.526333382602,0.96,12,400,True,0,9-10,38,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep4
w4a_c1_uncarved,s199,True,5,free,dplus,12,0,4800,70.40282510998846,63.30700930980245,50.51061801655,172.02468182501,188.02351377601303,199.5769176072,0.36,0.13854166666666667,0.028333333333333332,0,195.243745241809,0.97,12,400,False,0,5-6,92,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep5
w4a_c1_uncarved,s199,True,5,free,dminus,12,0,4800,63.68204384018632,58.675285178303945,45.00549199705,170.14097146166503,187.33199926040302,199.1872034984,0.25416666666666665,0.12229166666666667,0.025833333333333333,11,196.93165221366698,0.9325,12,400,False,0,8-9,24,False,/home/san/UPDD_proj/outputs/_trackb/twocopy_w4a_free_FIXAB/wt/free/rep5
