cohort,seed,replicate_index,leg,direction,state,n,mean,sd,min,p01,p05,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,frac_lt_0
w23a_gateA,s19,1,bound,dminus,8,800,68.99308402424376,20.459888201552843,7.6360465464,23.020645054042,33.946225109785004,70.13452942015,99.57368752235999,115.225787421268,129.9963416952,0.00875,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dminus,9,800,76.29807735442856,24.52412463481113,15.333244951,24.660140378558996,38.64995836075,75.14758137395,125.436046913445,131.25872788974698,139.6924003789,0.0675,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dminus,10,800,97.4385340929476,30.8383447753751,20.3675366724,33.210120119009005,45.53089615945001,98.94382338225,138.028978317895,149.35232522803298,164.5643801717,0.31875,0.01,0.0,0.0
w23a_gateA,s19,1,bound,dminus,11,800,118.95470225242383,28.944211001148947,13.0780951243,37.898493050191,58.7322752973,129.70505409835,149.37585755701,157.076435409747,181.0500502486,0.66,0.04625,0.00125,0.0
w23a_gateA,s19,1,bound,dminus,12,800,144.84182101499,16.88470064022665,22.8215467406,84.309744898769,125.651461162875,144.21536556425002,172.638856426275,185.711466025331,197.6676912477,0.96875,0.3575,0.02125,0.0
w23a_gateA,s19,1,bound,dminus,13,800,160.45895721978678,17.332081283830103,16.5747210355,127.30985033368799,134.21582494811,159.87457746305,187.19624536007998,194.372020614904,198.9224137388,0.99625,0.735,0.13625,0.0
w23a_gateA,s19,1,bound,dminus,14,800,173.5362294224159,13.413369470667783,125.2304980003,137.921876371299,148.709663133725,174.6725130377,192.21788296499,196.452176034142,198.2847465924,1.0,0.94375,0.33875,0.0
w23a_gateA,s23,2,bound,dplus,0,800,158.21919594968202,17.54802693227358,122.821616032,127.233073924406,131.05961378553002,156.8067392904,186.90875482739497,193.512722250224,197.9804389087,1.0,0.64375,0.1325,0.0
w23a_gateA,s23,2,bound,dplus,1,800,140.93850115695574,14.01869370613034,16.0764034118,124.533947515988,126.73762206492,138.06831254195,167.52998030506998,183.30278528643197,189.8627262068,0.99375,0.20125,0.01375,0.0
w23a_gateA,s23,2,bound,dplus,2,800,131.90487819079897,13.6399126469498,17.9604408162,52.880243188307,124.455432884185,131.54380554829999,148.75067048279,155.77280664188302,177.9258680901,0.97125,0.04,0.0,0.0
w23a_gateA,s23,2,bound,dplus,3,800,121.57243464901838,25.571444694540777,7.0049220244,22.665004985493997,48.990550870895,129.35806162355,138.248757431665,143.364289741512,152.7825011146,0.85375,0.0025,0.0,0.0
w23a_gateA,s23,2,bound,dplus,4,800,90.5860623362969,39.520410448624716,7.8440095453,12.916910962859,23.692879029515,96.05708222545,133.334370885805,138.29579004681,142.3079904459,0.4275,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dplus,5,800,60.964910733442885,28.695295552686016,4.3630217047,10.009606910243999,19.112348100604997,58.8115159686,125.90711633613,129.94908255302101,136.7630570376,0.0725,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dplus,6,800,55.15002788732337,25.438127348113166,0.672903845,10.649864532342999,17.36815472632,53.42233340555,95.498254604555,126.138875764568,127.2819970302,0.0325,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dplus,7,800,53.7926604356406,24.085110543084273,1.3782508515,8.658535959143999,17.13847348153,53.45314273875,89.73653585462,124.236827699079,128.5233444294,0.015,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dplus,8,800,35.07062359711099,21.382543733516865,-0.6112851787,4.768901992719,8.919115230640001,30.6098894225,75.86150597886,93.78085834804,127.1374049534,0.00875,0.0,0.0,0.00125
w23a_gateA,s23,2,bound,dplus,9,800,24.165683602657005,15.819054176078708,-5.0450283072,0.4405991388370001,5.332908849180001,21.19051931465,50.43717743556999,72.29405361198799,126.6423074856,0.00625,0.0,0.0,0.00875
